,State,Municipality,Crop,Active agricultural production units - Total,Active agricultural production units - With open agriculture,Cultivated area - Sown,Cultivated area - Harvested,Production,Water Modality - Temporary - Production unit,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Temporary - Production,Water Modality - Irrigation - Production unit,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Water Modality - Irrigation - Production
19573,16 MIC,082 Tacámbaro,White corn,1253,1253,3490.9154,3406.8047,11096.2691,1174,3242.6822,3161.6715,9735.7572,82,248.2332,245.1332,1360.5119
19599,16 MIC,083 Tancítaro,Forage corn,*,*,5,5,110.35,*,5,5,110.35,*,0,0,0
19600,16 MIC,083 Tancítaro,Yellow corn,5,5,6.75,6.75,14.4575,5,6.75,6.75,14.4575,0,0,0,0
19601,16 MIC,083 Tancítaro,White corn,298,298,1093.3325,1067.3325,3000.9973,296,1086.3325,1060.3325,2978.1873,2,7,7,22.81
19619,16 MIC,084 Tangamandapio,Forage corn,10,10,31,31,677.1,10,31,31,677.1,0,0,0,0
19620,16 MIC,084 Tangamandapio,Yellow corn,136,136,297.9569,295.8118,1588.0254,134,295.4569,293.3118,1567.3613,2,2.5,2.5,20.6641
19621,16 MIC,084 Tangamandapio,White corn,1109,1109,3358.2091,3328.2094,12855.7187,1072,3224.8707,3196.0141,11912.9783,40,133.3384,132.1953,942.7404
19642,16 MIC,085 Tangancícuaro,Forage corn,*,*,11,11,242.77,*,11,11,242.77,*,0,0,0
19643,16 MIC,085 Tangancícuaro,Yellow corn,37,37,182.37,179.37,1235.4338,33,163.62,161.62,1081.9338,5,18.75,17.75,153.5
19644,16 MIC,085 Tangancícuaro,White corn,1082,1082,4248.4945,4087.2063,20301.5352,869,3435.0079,3317.8034,14451.7254,229,813.4866,769.4029,5849.8098
19666,16 MIC,086 Tanhuato,Forage corn,224,224,627.61,626.61,27337.0325,15,43.11,43.11,938.9575,209,584.5,583.5,26398.075
19667,16 MIC,086 Tanhuato,Yellow corn,13,13,50.422,50.422,341.9616,9,38.84,38.84,232.7279,4,11.582,11.582,109.2337
19668,16 MIC,086 Tanhuato,White corn,1526,1526,7911.3443,7310.2774,60290.2442,836,4170.0792,3586.9157,24670.5525,699,3741.2651,3723.3617,35619.6917
19682,16 MIC,087 Taretan,Forage corn,49,49,117.6501,117.6501,2331.497,46,111.6501,111.6501,2094.947,3,6,6,236.55
19683,16 MIC,087 Taretan,Yellow corn,*,*,0.5,0.5,0.25,*,0.5,0.5,0.25,*,0,0,0
19684,16 MIC,087 Taretan,White corn,62,62,104.3346,103.3346,180.7044,59,98.3346,97.3346,171.7044,3,6,6,9
19708,16 MIC,088 Tarímbaro,Forage corn,*,*,34.5,34.5,1505.095,*,2.5,2.5,55.175,*,32,32,1449.92
19709,16 MIC,088 Tarímbaro,Yellow corn,20,20,39.243,39.1717,273.6486,7,14,13.9287,67.6012,14,25.243,25.243,206.0474
19710,16 MIC,088 Tarímbaro,White corn,2442,2442,5682.3244,5503.3094,27868.6173,1121,2508.6235,2384.7212,5752.1309,1424,3173.7009,3118.5882,22116.4864
19731,16 MIC,089 Tepalcatepec,Forage corn,50,50,423.758,383.478,10203.7346,22,225.89,218.39,4053.2073,29,197.868,165.088,6150.5273
19732,16 MIC,089 Tepalcatepec,Yellow corn,26,26,151.13,134.9688,961.6726,9,29,25,101.37,17,122.13,109.9688,860.3026
19733,16 MIC,089 Tepalcatepec,White corn,255,255,2218.6367,2122.1403,12012.6229,116,860.8882,802.3146,2575.3248,141,1357.7485,1319.8257,9437.2981
19753,16 MIC,090 Tingambato,Forage corn,33,33,28.0745,28.0706,369.8716,33,27.7273,27.7273,354.3167,1,0.3472,0.3433,15.5549
19754,16 MIC,090 Tingambato,Yellow corn,15,15,26.95,23.45,40.59,15,26.95,23.45,40.59,0,0,0,0
19755,16 MIC,090 Tingambato,White corn,260,260,453.9072,426.7856,546.2166,260,453.9072,426.7856,546.2166,0,0,0,0
19768,16 MIC,091 Tingüindín,Forage corn,82,82,352.74,350.74,6916.516,82,352.74,350.74,6916.516,0,0,0,0
19769,16 MIC,091 Tingüindín,Yellow corn,8,8,10.7527,10.7181,48.598,8,10.7527,10.7181,48.598,0,0,0,0
19770,16 MIC,091 Tingüindín,White corn,244,244,722.3663,719.6801,2559.8589,238,715.0098,712.3703,2501.5369,7,7.3565,7.3098,58.322
19785,16 MIC,092 Tiquicheo de Nicolás Romero,Forage corn,52,52,327.43,297.43,6113.5651,52,327.43,297.43,6113.5651,0,0,0,0
19786,16 MIC,092 Tiquicheo de Nicolás Romero,Yellow corn,50,50,160.72,159.22,834.0442,49,152.72,151.22,771.6442,1,8,8,62.4
19787,16 MIC,092 Tiquicheo de Nicolás Romero,White corn,1243,1243,4108.3801,4056.0242,13958.7817,1230,4077.8401,4025.4842,13788.2567,13,30.54,30.54,170.525
19809,16 MIC,093 Tlalpujahua,Forage corn,12,12,21.2059,20.9759,52.9977,7,7.425,7.195,15.9497,5,13.7809,13.7809,37.048
19810,16 MIC,093 Tlalpujahua,Yellow corn,6,6,5.18,5.14,34.145,2,1.54,1.5,6.915,4,3.64,3.64,27.23
19811,16 MIC,093 Tlalpujahua,White corn,1993,1993,1977.9542,1615.3996,2463.0233,1796,1706.5099,1375.0893,1870.6959,241,271.4443,240.3103,592.3274
19832,16 MIC,094 Tlazazalca,Forage corn,4,4,10.5,10.5,231.735,4,10.5,10.5,231.735,0,0,0,0
19833,16 MIC,094 Tlazazalca,Yellow corn,71,71,198.995,198.995,979.0267,71,198.995,198.995,979.0267,0,0,0,0
19834,16 MIC,094 Tlazazalca,White corn,697,697,1699.6696,1672.9,6220.8945,689,1680.6559,1654.6453,6070.702,11,19.0137,18.2547,150.1925
19855,16 MIC,095 Tocumbo,Forage corn,58,58,180.7711,180.6211,3560.7843,56,173.5211,173.3711,3232.2868,2,7.25,7.25,328.4975
19856,16 MIC,095 Tocumbo,Yellow corn,5,5,18,18,86.93,5,18,18,86.93,0,0,0,0
19857,16 MIC,095 Tocumbo,White corn,95,95,295.256,282.5667,1410.4732,91,280.776,269.5963,1316.1783,4,14.48,12.9704,94.2949
19872,16 MIC,096 Tumbiscatío,Yellow corn,23,23,160.5,160.454,623.8929,23,160.5,160.454,623.8929,0,0,0,0
19873,16 MIC,096 Tumbiscatío,White corn,490,490,4482.26,4119.3015,8277.3568,486,4448.26,4085.4871,8157.9261,4,34,33.8144,119.4307
19889,16 MIC,097 Turicato,Forage corn,*,*,2,2,44.14,*,2,2,44.14,*,0,0,0
19890,16 MIC,097 Turicato,Yellow corn,66,66,120.0365,111.9401,667.924,65,117.4092,109.3476,647.7025,1,2.6273,2.5925,20.2215
19891,16 MIC,097 Turicato,White corn,2874,2874,8215.5588,7320.7434,24430.0356,2849,8142.6104,7256.3122,24021.5468,33,72.9484,64.4312,408.4888
19915,16 MIC,098 Tuxpan,Yellow corn,21,21,29.9336,27.3552,133.065,18,26.4336,23.8552,104.365,3,3.5,3.5,28.7
19916,16 MIC,098 Tuxpan,White corn,1283,1283,2423.4061,2049.6674,7711.0833,1038,1926.8884,1729.3694,5465.7854,268,496.5177,320.298,2245.2979
19939,16 MIC,099 Tuzantla,Forage corn,77,77,365.29,365.29,8084.0103,74,361.79,361.79,7925.4253,3,3.5,3.5,158.585
19940,16 MIC,099 Tuzantla,Yellow corn,326,326,1134.67,1134.67,6681.5356,320,1118.17,1118.17,6564.3356,8,16.5,16.5,117.2
19941,16 MIC,099 Tuzantla,White corn,1410,1410,4457.3335,4445.2483,19719.2664,1385,4400.2185,4388.1333,19339.9891,29,57.115,57.115,379.2773
19963,16 MIC,100 Tzintzuntzan,Forage corn,12,12,30,30,305.875,12,30,30,305.875,0,0,0,0
19964,16 MIC,100 Tzintzuntzan,Yellow corn,12,12,24.8495,24.7227,121.4383,12,24.8495,24.7227,121.4383,0,0,0,0
19965,16 MIC,100 Tzintzuntzan,White corn,1378,1378,2520.557,2286.8605,7247.3698,1298,2222.5641,1992.8162,5718.3256,115,297.9929,294.0443,1529.0442
19982,16 MIC,101 Tzitzio,Yellow corn,4,4,12.5,12.5,52.55,4,12.5,12.5,52.55,0,0,0,0
19983,16 MIC,101 Tzitzio,White corn,737,737,3862.4375,3721.935,10851.8441,737,3862.4375,3721.935,10851.8441,0,0,0,0
20004,16 MIC,102 Uruapan,Forage corn,34,34,101.7796,90.2192,1235.6509,34,101.7796,90.2192,1235.6509,0,0,0,0
20005,16 MIC,102 Uruapan,Yellow corn,*,*,2.54,2.5,11.525,*,2.54,2.5,11.525,*,0,0,0
20006,16 MIC,102 Uruapan,White corn,538,538,1169.0851,953.4227,1490.1601,524,1156.7189,942.177,1434.0336,14,12.3662,11.2457,56.1265
20037,16 MIC,103 Venustiano Carranza,Forage corn,83,83,373.531,349.6507,9244.7981,67,287.611,265.5107,5432.4147,18,85.92,84.14,3812.3834
20038,16 MIC,103 Venustiano Carranza,Yellow corn,61,61,202.5487,174.8166,976.5739,49,163.0762,138.3925,681.4659,12,39.4725,36.4241,295.108
20039,16 MIC,103 Venustiano Carranza,White corn,2491,2491,10365.6279,9546.149,58204.8825,1503,4809.8147,4462.0634,18169.441,1080,5555.8132,5084.0856,40035.4415
20061,16 MIC,104 Villamar,Forage corn,212,212,654.984,467.314,9294.7836,208,643.052,455.382,8754.1447,4,11.932,11.932,540.6389
20062,16 MIC,104 Villamar,Yellow corn,116,116,347.0252,315.4867,1794.6687,106,302.547,274.4488,1456.973,10,44.4782,41.0379,337.6957
20063,16 MIC,104 Villamar,White corn,2336,2336,8458.4406,6484.2015,33537.8272,1839,6680.4233,5161.3251,23899.6573,522,1778.0173,1322.8764,9638.1699
20086,16 MIC,105 Vista Hermosa,Forage corn,7,7,34.02,34.02,1111.169,3,17.78,17.78,375.3346,4,16.24,16.24,735.8344
20087,16 MIC,105 Vista Hermosa,Yellow corn,*,*,6.6,6.6,75,*,0,0,0,*,6.6,6.6,75
20088,16 MIC,105 Vista Hermosa,White corn,1869,1869,10876.6251,10785.6812,96823.9394,417,2105.7633,2042.2583,13656.8299,1471,8770.8618,8743.4229,83167.1095
20105,16 MIC,106 Yurécuaro,Forage corn,25,25,63.09,63.09,2814.864,3,1.86,1.86,40.5327,22,61.23,61.23,2774.3313
20106,16 MIC,106 Yurécuaro,Yellow corn,22,22,41.9401,41.9401,287.1567,18,36.4401,36.4401,238.1354,4,5.5,5.5,49.0213
20107,16 MIC,106 Yurécuaro,White corn,1333,1333,6413.1838,6413.1657,59660.3267,517,1935.8557,1935.8557,12998.1428,845,4477.3281,4477.31,46662.1839
20126,16 MIC,107 Zacapu,Yellow corn,288,288,927.3773,900.9921,5761.7873,136,373.805,361.0122,1722.2282,158,553.5723,539.9799,4039.5591
20127,16 MIC,107 Zacapu,White corn,2499,2499,8061.6136,7870.0582,35093.532,970,2330.7723,2260.5751,6629.7754,1613,5730.8413,5609.4831,28463.7566
20154,16 MIC,108 Zamora,Forage corn,79,79,192.5926,191.3426,6604.3957,34,73.1926,73.1926,1471.763,46,119.4,118.15,5132.6327
20155,16 MIC,108 Zamora,Yellow corn,60,60,97.5171,97.5098,650.8184,31,34.877,34.877,170.9025,29,62.6401,62.6328,479.9159
20156,16 MIC,108 Zamora,White corn,1651,1651,6847.6767,6835.9153,49103.465,621,1954.754,1954.6365,7985.7776,1069,4892.9227,4881.2788,41117.6874
20174,16 MIC,109 Zináparo,Forage corn,30,30,102.76,94.26,1933.4408,30,102.76,94.26,1933.4408,0,0,0,0
20175,16 MIC,109 Zináparo,Yellow corn,43,43,113.8008,113.8008,585.1255,42,109.2219,109.2219,549.4101,1,4.5789,4.5789,35.7154
20176,16 MIC,109 Zináparo,White corn,587,587,2400.896,2391.7375,11148.8452,505,2005.2904,1996.2904,8227.4531,110,395.6056,395.4471,2921.3921
20189,16 MIC,110 Zinapécuaro,Forage corn,70,70,176.3021,139.9837,2475.5363,58,139.1879,102.8695,1023.5352,12,37.1142,37.1142,1452.0011
20190,16 MIC,110 Zinapécuaro,Yellow corn,19,19,45.6246,39.4219,150.938,18,39.3646,33.1619,102.91,2,6.26,6.26,48.028
20191,16 MIC,110 Zinapécuaro,White corn,2046,2046,7045.4169,6390.5623,35790.6235,1329,3299.8246,2682.3262,7570.8316,828,3745.5923,3708.2361,28219.7919
20217,16 MIC,111 Ziracuaretiro,Forage corn,*,*,0.971,0.471,21.341,*,0.5,0,0,*,0.471,0.471,21.341
20218,16 MIC,111 Ziracuaretiro,White corn,41,41,31.0694,31.0694,90.2854,36,25.2776,25.2776,59.1834,5,5.7918,5.7918,31.102
20240,16 MIC,112 Zitácuaro,Forage corn,47,47,109.705,108.2355,1950.3902,44,103.805,102.3355,1728.2712,5,5.9,5.9,222.119
20241,16 MIC,112 Zitácuaro,Yellow corn,15,15,21.82,17.82,73.6506,14,21.07,17.07,67.6506,1,0.75,0.75,6
20242,16 MIC,112 Zitácuaro,White corn,2635,2635,3138.2728,2928.0962,4866.3305,2499,2962.6727,2759.6453,4408.793,162,175.6001,168.4509,457.5375
20268,16 MIC,113 José Sixto Verduzco,Forage corn,104,104,222.17,222.17,8068.6471,47,72.51,72.51,1450.6669,61,149.66,149.66,6617.9802
20269,16 MIC,113 José Sixto Verduzco,Yellow corn,265,265,677.4559,677.4541,5857.3472,93,185.35,185.3492,1059.3232,180,492.1059,492.1049,4798.024
20270,16 MIC,113 José Sixto Verduzco,White corn,3756,3756,10552.2468,10509.1091,84521.8552,1068,2185.9986,2177.8685,9283.7592,2967,8366.2482,8331.2406,75238.096
20337,17 MOR,001 Amacuzac,Forage corn,47,47,131.8496,130.8496,3314.5623,42,114.0296,114.0296,2552.4481,7,17.82,16.82,762.1142
20338,17 MOR,001 Amacuzac,Yellow corn,80,80,288.3333,282.5845,1544.0544,78,287.6833,281.9345,1539.8544,2,0.65,0.65,4.2
20339,17 MOR,001 Amacuzac,White corn,659,659,1358.941,1335.9574,6562.997,582,1216.7377,1193.7541,5821.2692,104,142.2033,142.2033,741.7278
20360,17 MOR,002 Atlatlahucan,Forage corn,30,30,49.6884,46.1084,782.663,30,49.6884,46.1084,782.663,0,0,0,0
20361,17 MOR,002 Atlatlahucan,Yellow corn,16,16,50.9186,44.6967,315.1244,16,50.9186,44.6967,315.1244,0,0,0,0
20362,17 MOR,002 Atlatlahucan,White corn,813,813,2158.2758,2035.5598,9103.7188,811,2145.3481,2023.6321,9047.391,6,12.9277,11.9277,56.3278
20383,17 MOR,003 Axochiapan,Forage corn,9,9,27.5,27.5,606.925,9,27.5,27.5,606.925,0,0,0,0
20384,17 MOR,003 Axochiapan,Yellow corn,128,128,406.3376,402.9976,2464.1895,99,352.0176,348.6776,2117.863,32,54.32,54.32,346.3265
20385,17 MOR,003 Axochiapan,White corn,1151,1151,2385.207,2303.2071,11737.6527,822,1882.7912,1814.1235,8947.5785,358,502.4158,489.0836,2790.0742
20411,17 MOR,004 Ayala,Forage corn,50,50,97.521,92.193,2062.4637,36,81.221,76.593,1374.9827,15,16.3,15.6,687.481
20412,17 MOR,004 Ayala,Yellow corn,184,184,464.193,435.4054,2581.5897,139,409.213,380.9254,2221.4131,48,54.98,54.48,360.1766
20413,17 MOR,004 Ayala,White corn,1415,1415,2997.6296,2851.1345,13526.2571,986,2326.1411,2192.293,9487.6585,483,671.4885,658.8415,4038.5986
20439,17 MOR,005 Coatlán del Río,Forage corn,28,28,77.6621,75.6621,1793.2911,22,71.6621,69.6621,1521.4311,6,6,6,271.86
20440,17 MOR,005 Coatlán del Río,Yellow corn,42,42,81.6788,81.1788,523.1349,36,75.9888,75.6888,495.0349,6,5.69,5.49,28.1
20441,17 MOR,005 Coatlán del Río,White corn,516,516,1500.0454,1493.3075,7777.7486,418,1015.4013,1012.7702,5337.438,111,484.6441,480.5373,2440.3106
20464,17 MOR,006 Cuautla,Forage corn,26,26,53.592,53.092,1267.0795,23,44.102,43.602,915.2076,3,9.49,9.49,351.8719
20465,17 MOR,006 Cuautla,Yellow corn,44,44,133.0567,125.9287,749.3054,41,127.9155,120.7875,708.3666,6,5.1412,5.1412,40.9388
20466,17 MOR,006 Cuautla,White corn,398,398,560.995,558.2867,2657.5261,291,439.8603,437.552,1986.6813,114,121.1347,120.7347,670.8448
20497,17 MOR,007 Cuernavaca,Forage corn,19,19,32.92,32.92,692.329,19,32.92,32.92,692.329,0,0,0,0
20498,17 MOR,007 Cuernavaca,Yellow corn,50,50,62.4144,62.0144,334.858,50,62.4144,62.0144,334.858,0,0,0,0
20499,17 MOR,007 Cuernavaca,White corn,451,451,666.8824,648.7854,2059.0604,436,643.0874,625.4904,1993.3404,22,23.795,23.295,65.72
20524,17 MOR,008 Emiliano Zapata,Forage corn,17,17,22.84,22.84,455.1319,12,17.09,17.09,282.8744,5,5.75,5.75,172.2575
20525,17 MOR,008 Emiliano Zapata,Yellow corn,6,6,4.8315,4.4151,41.4638,3,1.3051,1.3051,8.4638,3,3.5264,3.11,33
20526,17 MOR,008 Emiliano Zapata,White corn,79,79,95.1151,94.5407,475.7778,42,46.8948,46.3204,221.9532,37,48.2203,48.2203,253.8246
20546,17 MOR,009 Huitzilac,Forage corn,5,5,13,10,31,5,13,10,31,0,0,0,0
20547,17 MOR,009 Huitzilac,Yellow corn,16,16,26.4,26.4,89.587,16,26.4,26.4,89.587,0,0,0,0
20548,17 MOR,009 Huitzilac,White corn,164,164,260.821,241.341,259.4837,164,260.821,241.341,259.4837,0,0,0,0
20566,17 MOR,010 Jantetelco,Forage corn,7,7,8.47,8.47,175.9839,7,8.47,8.47,175.9839,0,0,0,0
20567,17 MOR,010 Jantetelco,Yellow corn,185,185,423.8943,423.0233,2848.7741,174,411.1067,410.5873,2766.7009,13,12.7876,12.436,82.0732
20568,17 MOR,010 Jantetelco,White corn,875,875,1218.4674,1206.2723,7111.9456,779,1059.6583,1047.7338,6142.68,114,158.8091,158.5385,969.2656
20595,17 MOR,011 Jiutepec,Forage corn,*,*,3,3,112.69,*,1,1,22.07,*,2,2,90.62
20596,17 MOR,011 Jiutepec,Yellow corn,*,*,0.015,0.015,0.0552,*,0.015,0.015,0.0552,*,0,0,0
20597,17 MOR,011 Jiutepec,White corn,25,25,37.0607,28.5158,91.6926,13,28.4711,19.9262,48.8392,12,8.5896,8.5896,42.8534
20614,17 MOR,012 Jojutla,Forage corn,85,85,178.8158,176.6158,4191.4752,69,144.62,142.62,2798.1752,18,34.1958,33.9958,1393.3
20615,17 MOR,012 Jojutla,Yellow corn,66,66,171.3964,158.4494,886.633,60,164.6964,151.7494,833.133,7,6.7,6.7,53.5
20616,17 MOR,012 Jojutla,White corn,423,423,1171.444,1159.533,5242.265,359,1045.2987,1037.0777,4603.2663,74,126.1453,122.4553,638.9987
20639,17 MOR,013 Jonacatepec de Leandro Valle,Forage corn,10,10,75.21,75.21,1687.3897,9,74.21,74.21,1642.0797,1,1,1,45.31
20640,17 MOR,013 Jonacatepec de Leandro Valle,Yellow corn,194,194,539.4227,535.1489,3657.4893,184,521.0727,516.8489,3536.8623,15,18.35,18.3,120.627
20641,17 MOR,013 Jonacatepec de Leandro Valle,White corn,529,529,1009.3262,978.5337,5930.3113,430,885.9126,860.7207,5143.7356,126,123.4136,117.813,786.5757
20666,17 MOR,014 Mazatepec,Forage corn,41,41,82.3,81.43,1875.4531,34,73.45,72.63,1494.8801,7,8.85,8.8,380.573
20667,17 MOR,014 Mazatepec,Yellow corn,58,58,84.2206,72.8896,437.5566,47,70.1206,60.9896,375.8485,12,14.1,11.9,61.7081
20668,17 MOR,014 Mazatepec,White corn,378,378,710.0116,675.9563,3249.8661,290,579.9659,547.7106,2586.8593,110,130.0457,128.2457,663.0068
20688,17 MOR,015 Miacatlán,Forage corn,62,62,119.1512,110.5512,2271.0582,53,106.4212,97.8212,1883.1569,11,12.73,12.73,387.9013
20689,17 MOR,015 Miacatlán,Yellow corn,118,118,261.66,250.84,1448.7188,97,224.84,215.52,1206.1188,26,36.82,35.32,242.6
20690,17 MOR,015 Miacatlán,White corn,449,449,1001.4095,988.5306,4696.8048,433,973.0913,960.2124,4551.5091,21,28.3182,28.3182,145.2957
20715,17 MOR,016 Ocuituco,Forage corn,15,15,40.11,37.61,804.1197,15,40.11,37.61,804.1197,0,0,0,0
20716,17 MOR,016 Ocuituco,Yellow corn,41,41,72,68.11,384.1203,41,72,68.11,384.1203,0,0,0,0
20717,17 MOR,016 Ocuituco,White corn,944,944,1321.8067,1289.7366,5301.7159,936,1285.5901,1253.52,5123.101,12,36.2166,36.2166,178.6149
20742,17 MOR,017 Puente de Ixtla,Forage corn,41,41,114.18,114.18,2489.0784,39,112.98,112.98,2434.7064,2,1.2,1.2,54.372
20743,17 MOR,017 Puente de Ixtla,Yellow corn,84,84,244.57,233.67,1394.3468,81,234.13,223.23,1325.6988,3,10.44,10.44,68.648
20744,17 MOR,017 Puente de Ixtla,White corn,1041,1041,3002.9534,2962.3455,13563.1701,989,2880.5653,2840.4574,12940.8455,62,122.3881,121.8881,622.3246
20769,17 MOR,018 Temixco,Forage corn,51,51,75.2079,75.2079,1534.1118,50,75.0079,75.0079,1528.1118,1,0.2,0.2,6
20770,17 MOR,018 Temixco,Yellow corn,90,90,147.3727,147.0662,872.3637,88,145.2565,144.95,862.4457,2,2.1162,2.1162,9.918
20771,17 MOR,018 Temixco,White corn,500,500,573.1802,569.6329,2240.0575,483,541.3071,537.7598,2076.2526,27,31.8731,31.8731,163.8049
20795,17 MOR,019 Tepalcingo,Forage corn,8,8,19.87,19.87,480.3629,4,18.07,18.07,398.8049,4,1.8,1.8,81.558
20796,17 MOR,019 Tepalcingo,Yellow corn,189,189,368.0985,363.2055,2255.888,148,295.8385,290.9455,1753.1116,49,72.26,72.26,502.7764
20797,17 MOR,019 Tepalcingo,White corn,1645,1645,4187.1569,4111.497,22403.5889,1282,3400.1783,3325.9465,17313.3599,446,786.9786,785.5505,5090.229
20826,17 MOR,020 Tepoztlán,Forage corn,15,15,29.15,29.15,643.3405,15,29.15,29.15,643.3405,0,0,0,0
20827,17 MOR,020 Tepoztlán,Yellow corn,61,61,97.3898,96.233,500.0277,61,97.3898,96.233,500.0277,0,0,0,0
20828,17 MOR,020 Tepoztlán,White corn,748,748,1455.1973,1439.8127,7208.9511,745,1445.0823,1430.2458,7158.1399,7,10.115,9.5669,50.8112
20851,17 MOR,021 Tetecala,Forage corn,9,9,15.6164,15.6164,431.4879,6,11.0164,11.0164,223.0619,3,4.6,4.6,208.426
20852,17 MOR,021 Tetecala,Yellow corn,31,31,111.6498,111.5915,701.0032,27,107.7498,107.6915,678.6032,4,3.9,3.9,22.4
20853,17 MOR,021 Tetecala,White corn,133,133,343.9511,340.9273,1555.899,113,323.4407,320.4169,1430.2243,22,20.5104,20.5104,125.6747
20880,17 MOR,022 Tetela del Volcán,Forage corn,*,*,1,1,21.55,*,1,1,21.55,*,0,0,0
20881,17 MOR,022 Tetela del Volcán,Yellow corn,11,11,12.995,12.995,23.2656,10,12.495,12.495,22.2656,1,0.5,0.5,1
20882,17 MOR,022 Tetela del Volcán,White corn,496,496,344.0224,283.8171,643.2774,437,312.1306,252.6803,586.6679,59,31.8918,31.1368,56.6095
20906,17 MOR,023 Tlalnepantla,Forage corn,*,*,4.5,4.5,10,*,4.5,4.5,10,*,0,0,0
20907,17 MOR,023 Tlalnepantla,Yellow corn,*,*,1.5,0,0,*,1.5,0,0,*,0,0,0
20908,17 MOR,023 Tlalnepantla,White corn,83,83,85.6685,83.9685,288.1633,83,85.6685,83.9685,288.1633,0,0,0,0
20928,17 MOR,024 Tlaltizapán de Zapata,Forage corn,22,22,36.07,36.07,777.1669,13,26.07,26.07,466.2449,9,10,10,310.922
20929,17 MOR,024 Tlaltizapán de Zapata,Yellow corn,17,17,39.75,39.75,207.7307,12,32.29,32.29,170.7907,5,7.46,7.46,36.94
20930,17 MOR,024 Tlaltizapán de Zapata,White corn,311,311,906.8377,852.6825,3365.2213,265,828.0806,774.2654,2977.0214,47,78.7571,78.4171,388.1999
20954,17 MOR,025 Tlaquiltenango,Forage corn,70,70,181.13,178.28,3648.8798,67,173.23,170.38,3290.9308,3,7.9,7.9,357.949
20955,17 MOR,025 Tlaquiltenango,Yellow corn,269,269,583.6933,465.2433,2361.7303,263,569.1833,451.1333,2289.1503,10,14.51,14.11,72.58
20956,17 MOR,025 Tlaquiltenango,White corn,1380,1380,4014.0643,3712.8659,12662.9226,1347,3942.4326,3641.4138,12324.5896,44,71.6317,71.4521,338.333
20983,17 MOR,026 Tlayacapan,Forage corn,*,*,3.5,3.5,73.124,*,3.5,3.5,73.124,*,0,0,0
20984,17 MOR,026 Tlayacapan,Yellow corn,*,*,2,2,5,*,2,2,5,*,0,0,0
20985,17 MOR,026 Tlayacapan,White corn,308,308,423.6179,407.1866,1797.412,301,416.8955,400.4642,1748.3383,7,6.7224,6.7224,49.0737
21009,17 MOR,027 Totolapan,Forage corn,15,15,18.774,18.774,387.6337,15,18.774,18.774,387.6337,0,0,0,0
21010,17 MOR,027 Totolapan,Yellow corn,8,8,13.4637,12.3944,93.4905,7,9.9932,8.9239,78.9144,1,3.4705,3.4705,14.5761
21011,17 MOR,027 Totolapan,White corn,605,605,866.7497,796.2913,2910.3734,603,864.0659,793.6075,2896.847,2,2.6838,2.6838,13.5264
21032,17 MOR,028 Xochitepec,Forage corn,31,31,29.419,16.719,371.3955,27,25.619,13.819,264.1825,4,3.8,2.9,107.213
21033,17 MOR,028 Xochitepec,Yellow corn,7,7,10.4642,8.2142,42.4687,4,5.05,2.8,14.8487,3,5.4142,5.4142,27.62
21034,17 MOR,028 Xochitepec,White corn,339,339,358.9007,318.7627,1487.9607,260,258.234,223.0889,1011.7004,90,100.6667,95.6738,476.2603
21058,17 MOR,029 Yautepec,Forage corn,18,18,53.472,53.472,1273.9492,14,49.292,49.292,1084.5534,4,4.18,4.18,189.3958
21059,17 MOR,029 Yautepec,Yellow corn,113,113,385.2521,380.3256,2369.4168,109,378.2929,373.3664,2334.9773,4,6.9592,6.9592,34.4395
21060,17 MOR,029 Yautepec,White corn,536,536,1415.7632,1393.3393,6520.8324,502,1343.2532,1324.6558,6222.1868,39,72.51,68.6835,298.6456
21087,17 MOR,030 Yecapixtla,Forage corn,61,61,170.1,165.08,3169.6613,60,169.4,164.38,3137.9443,1,0.7,0.7,31.717
21088,17 MOR,030 Yecapixtla,Yellow corn,125,125,332.5908,329.1508,2041.1634,125,332.5908,329.1508,2041.1634,0,0,0,0
21089,17 MOR,030 Yecapixtla,White corn,1940,1940,4295.9576,4038.2812,15749.4193,1931,4283.4122,4026.1138,15692.5713,10,12.5454,12.1674,56.848
21112,17 MOR,031 Zacatepec,Forage corn,5,5,4.65,3.6,78.038,5,4.65,3.6,78.038,0,0,0,0
21113,17 MOR,031 Zacatepec,Yellow corn,*,*,11.74,8.34,50.816,*,10.24,6.84,44.516,*,1.5,1.5,6.3
21114,17 MOR,031 Zacatepec,White corn,19,19,19.4769,17.4435,43.2122,19,19.4769,17.4435,43.2122,0,0,0,0
21132,17 MOR,032 Zacualpan de Amilpas,Forage corn,18,18,25.285,23.085,488.002,18,25.285,23.085,488.002,0,0,0,0
21133,17 MOR,032 Zacualpan de Amilpas,Yellow corn,66,66,93.8294,87.6323,551.8033,65,93.2294,87.0323,546.8033,1,0.6,0.6,5
21134,17 MOR,032 Zacualpan de Amilpas,White corn,641,641,711.283,657.9447,3376.322,619,693.9932,640.9886,3269.3333,24,17.2898,16.9561,106.9887
21158,17 MOR,033 Temoac,Forage corn,5,5,5.24,5.09,112.3363,5,5.24,5.09,112.3363,0,0,0,0
21159,17 MOR,033 Temoac,Yellow corn,177,177,397.15,395.45,2619.8109,177,396.15,394.45,2611.8109,1,1,1,8
